stationId,polluant,valeur,date,heure
6,"SO2",1,"2025-02-01",3
6,"O3",22,"2025-02-01",3
6,"NO2",1,"2025-02-01",3
6,"PM",5,"2025-02-01",3
17,"O3",22,"2025-02-01",3
17,"NO2",1,"2025-02-01",3
17,"PM",4,"2025-02-01",3
28,"CO",1,"2025-02-01",3
28,"O3",21,"2025-02-01",3
28,"NO2",1,"2025-02-01",3
28,"PM",6,"2025-02-01",3
31,"SO2",1,"2025-02-01",3
31,"CO",1,"2025-02-01",3
31,"O3",20,"2025-02-01",3
31,"NO2",2,"2025-02-01",3
31,"PM",5,"2025-02-01",3
50,"PM",5,"2025-02-01",3
55,"CO",1,"2025-02-01",3
55,"O3",23,"2025-02-01",3
55,"NO2",1,"2025-02-01",3
55,"PM",4,"2025-02-01",3
66,"NO2",1,"2025-02-01",16
66,"PM",6,"2025-02-01",16
80,"SO2",1,"2025-02-01",16
80,"O3",21,"2025-02-01",16
80,"NO2",1,"2025-02-01",16
80,"PM",7,"2025-02-01",16
99,"SO2",0,"2025-02-01",16
99,"O3",23,"2025-02-01",16
99,"NO2",1,"2025-02-01",16
99,"PM",6,"2025-02-01",16
103,"O3",21,"2025-02-01",16
103,"NO2",2,"2025-02-01",16
103,"PM",10,"2025-02-01",16
3,"SO2",1,"2025-02-01",15
3,"O3",24,"2025-02-01",15
3,"NO2",1,"2025-02-01",15
3,"PM",7,"2025-02-01",15
6,"SO2",1,"2025-02-01",15
6,"O3",22,"2025-02-01",15
6,"NO2",1,"2025-02-01",15
6,"PM",9,"2025-02-01",15
17,"O3",22,"2025-02-01",15
17,"NO2",2,"2025-02-01",15
17,"PM",7,"2025-02-01",15
28,"CO",1,"2025-02-01",15
28,"O3",20,"2025-02-01",15
28,"NO2",2,"2025-02-01",15
28,"PM",25,"2025-02-01",15
31,"SO2",1,"2025-02-01",15
31,"CO",1,"2025-02-01",15
31,"O3",23,"2025-02-01",15
31,"NO2",2,"2025-02-01",15
31,"PM",7,"2025-02-01",15
50,"PM",7,"2025-02-01",15
55,"CO",1,"2025-02-01",15
66,"NO2",1,"2025-02-01",3
66,"PM",5,"2025-02-01",3
80,"SO2",1,"2025-02-01",3
80,"O3",22,"2025-02-01",3
80,"NO2",1,"2025-02-01",3
80,"PM",4,"2025-02-01",3
99,"SO2",1,"2025-02-01",3
99,"O3",23,"2025-02-01",3
99,"NO2",1,"2025-02-01",3
99,"PM",6,"2025-02-01",3
103,"O3",21,"2025-02-01",3
103,"NO2",2,"2025-02-01",3
103,"PM",14,"2025-02-01",3
66,"PM",6,"2025-02-01",14
80,"SO2",1,"2025-02-01",14
80,"O3",22,"2025-02-01",14
80,"NO2",1,"2025-02-01",14
80,"PM",7,"2025-02-01",14
99,"SO2",0,"2025-02-01",14
99,"O3",23,"2025-02-01",14
99,"NO2",1,"2025-02-01",14
99,"PM",6,"2025-02-01",14
103,"O3",23,"2025-02-01",14
103,"NO2",1,"2025-02-01",14
103,"PM",19,"2025-02-01",14
66,"O3",23,"2025-02-01",3
55,"O3",23,"2025-02-01",15
55,"NO2",1,"2025-02-01",15
55,"PM",6,"2025-02-01",15
66,"O3",22,"2025-02-01",15
66,"NO2",1,"2025-02-01",15
66,"PM",6,"2025-02-01",15
80,"SO2",1,"2025-02-01",15
80,"O3",22,"2025-02-01",15
80,"NO2",1,"2025-02-01",15
80,"PM",7,"2025-02-01",15
99,"SO2",0,"2025-02-01",15
99,"O3",23,"2025-02-01",15
99,"NO2",1,"2025-02-01",15
99,"PM",6,"2025-02-01",15
103,"O3",22,"2025-02-01",15
103,"NO2",1,"2025-02-01",15
103,"PM",12,"2025-02-01",15
3,"SO2",1,"2025-02-01",8
3,"O3",24,"2025-02-01",8
3,"NO2",1,"2025-02-01",8
3,"PM",5,"2025-02-01",8
6,"SO2",1,"2025-02-01",8
6,"O3",20,"2025-02-01",8
6,"NO2",2,"2025-02-01",8
6,"PM",6,"2025-02-01",8
17,"O3",20,"2025-02-01",8
17,"NO2",3,"2025-02-01",8
17,"PM",6,"2025-02-01",8
28,"CO",1,"2025-02-01",8
28,"O3",19,"2025-02-01",8
28,"NO2",2,"2025-02-01",8
28,"PM",7,"2025-02-01",8
31,"SO2",1,"2025-02-01",8
31,"CO",1,"2025-02-01",8
31,"O3",20,"2025-02-01",8
31,"NO2",3,"2025-02-01",8
31,"PM",5,"2025-02-01",8
50,"PM",5,"2025-02-01",8
55,"CO",1,"2025-02-01",8
55,"O3",22,"2025-02-01",8
3,"SO2",1,"2025-02-01",13
3,"O3",25,"2025-02-01",13
3,"NO2",1,"2025-02-01",13
3,"PM",5,"2025-02-01",13
55,"PM",5,"2025-02-01",8
66,"O3",21,"2025-02-01",8
66,"NO2",2,"2025-02-01",8
66,"PM",6,"2025-02-01",8
80,"SO2",1,"2025-02-01",8
80,"O3",21,"2025-02-01",8
80,"NO2",1,"2025-02-01",8
80,"PM",5,"2025-02-01",8
99,"SO2",1,"2025-02-01",8
99,"O3",22,"2025-02-01",8
99,"NO2",1,"2025-02-01",8
99,"PM",6,"2025-02-01",8
103,"O3",20,"2025-02-01",8
103,"NO2",2,"2025-02-01",8
103,"PM",14,"2025-02-01",8
3,"SO2",1,"2025-02-01",9
3,"O3",25,"2025-02-01",9
3,"NO2",1,"2025-02-01",9
3,"PM",5,"2025-02-01",9
6,"SO2",1,"2025-02-01",9
55,"NO2",1,"2025-02-01",8
6,"O3",23,"2025-02-01",13
6,"NO2",1,"2025-02-01",13
6,"PM",7,"2025-02-01",13
17,"O3",22,"2025-02-01",13
17,"NO2",1,"2025-02-01",13
17,"PM",6,"2025-02-01",13
28,"CO",1,"2025-02-01",13
28,"O3",20,"2025-02-01",13
28,"NO2",2,"2025-02-01",13
28,"PM",20,"2025-02-01",13
31,"SO2",1,"2025-02-01",13
31,"CO",1,"2025-02-01",13
31,"O3",22,"2025-02-01",13
31,"NO2",2,"2025-02-01",13
31,"PM",6,"2025-02-01",13
50,"PM",6,"2025-02-01",13
55,"CO",1,"2025-02-01",13
55,"O3",23,"2025-02-01",13
55,"NO2",1,"2025-02-01",13
55,"PM",5,"2025-02-01",13
66,"O3",24,"2025-02-01",13
66,"NO2",1,"2025-02-01",13
66,"PM",7,"2025-02-01",13
80,"SO2",1,"2025-02-01",13
80,"O3",22,"2025-02-01",13
80,"NO2",1,"2025-02-01",13
